,message,reply
0,This is ridiculous! My order has been stuck on 'preparing' for over 45 minutes.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
1,Seriously? The delivery fee is almost as much as the food itself!;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
2,"Ugh, the app keeps crashing when I try to place my order.;","Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
3,Why can't I find my favorite restaurant on this delivery app anymore?;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
4,The estimated delivery time keeps changing! Now it says it'll be another hour?;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
5,"I specifically requested utensils and napkins, and they're nowhere to be found.;","Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
6,The food selection on this app is so limited compared to other services.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
7,There's no way to contact the driver directly through the app? That's frustrating.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
8,I keep getting error messages when I try to use a promo code.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
9,"The food pictures look amazing, but the reality is so disappointing.;","Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
10,I can't believe they charge extra for dipping sauces! Ridiculous.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
11,This delivery service always seems to forget drinks in my orders.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
12,The 'live tracking' feature barely works. It's impossible to see where my food is.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
13,I never seem to get enough delivery drivers in my area. Long wait times every time!;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
14,"Ugh, the food is cold and soggy. This delivery took way too long.;","Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
15,The portions are tiny for the price! Not worth the money at all.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
16,This app is so confusing to navigate. It takes forever to find what I'm looking for.;,"Dear valued customer,

We understand how frustrating it can be when you need to track your delivery, and we're here to help. Our delivery service is designed to ensure that your order is delivered on time and in perfect condition.

We take pride in our commitment to customer satisfaction, and we're dedicated to resolving any issues"
