,message,reply
0,This is ridiculous! My order has been stuck on 'preparing' for over 45 minutes.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
1,Seriously? The delivery fee is almost as much as the food itself!;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
2,"Ugh, the app keeps crashing when I try to place my order.;","Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
3,Why can't I find my favorite restaurant on this delivery app anymore?;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
4,The estimated delivery time keeps changing! Now it says it'll be another hour?;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
5,"I specifically requested utensils and napkins, and they're nowhere to be found.;","Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
6,The food selection on this app is so limited compared to other services.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
7,There's no way to contact the driver directly through the app? That's frustrating.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
8,I keep getting error messages when I try to use a promo code.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
9,"The food pictures look amazing, but the reality is so disappointing.;","Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
10,I can't believe they charge extra for dipping sauces! Ridiculous.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
11,This delivery service always seems to forget drinks in my orders.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
12,The 'live tracking' feature barely works. It's impossible to see where my food is.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
13,I never seem to get enough delivery drivers in my area. Long wait times every time!;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
14,"Ugh, the food is cold and soggy. This delivery took way too long.;","Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
15,The portions are tiny for the price! Not worth the money at all.;,"Customer: Hi, I'm having a bit of a problem with my order. Can you please check it out and see if everything is okay?

Delivery Service: Absolutely! We'll be on our way to deliver your order as soon as possible. We're a reliable and trustworthy delivery service, and we always ensure that your items are delivered on time.

Customer: That's great to hear. I appreciate your prompt response.

"
